Step,Time,E_kin,E_pot,E_tot
 46,     0.23000000,  2813.23469070,-54819.59702300,-52006.36233230
 47,     0.23500000,  2812.21537338,-54781.71981901,-51969.50444563
 48,     0.24000000,  2811.19105768,-54742.72019080,-51931.52913313
 49,     0.24500000,  2810.16804599,-54702.59257520,-51892.42452922
 50,     0.25000000,  2809.14716050,-54661.30830824,-51852.16114774
 51,     0.25500000,  2808.13040859,-54618.94795566,-51810.81754708
 52,     0.26000000,  2807.12388907,-54575.48221915,-51768.35833008
 53,     0.26500000,  2806.12149705,-54530.84404939,-51724.72255235
 54,     0.27000000,  2805.12516866,-54484.93512250,-51679.80995385
 55,     0.27500000,  2804.13714546,-54437.81854824,-51633.68140278
 56,     0.28000000,  2803.15048195,-54389.29575443,-51586.14527248
 57,     0.28500000,  2802.19952157,-54339.67211187,-51537.47259031
 58,     0.29000000,  2801.29026105,-54288.72803338,-51487.43777233
 59,     0.29500000,  2800.40272670,-54236.39892977,-51435.99620308
 60,     0.30000000,  2799.55226940,-54182.80988651,-51383.25761711
 61,     0.30500000,  2798.72987269,-54127.75206104,-51329.02218835
 62,     0.31000000,  2797.94604448,-54071.24092866,-51273.29488418
 63,     0.31500000,  2797.22633273,-54013.35381966,-51216.12748693
 64,     0.32000000,  2796.57223534,-53953.98184174,-51157.40960639
 65,     0.32500000,  2795.98470086,-53893.07383581,-51097.08913494
 66,     0.33000000,  2795.46977574,-53830.69945073,-51035.22967499
 67,     0.33500000,  2795.03580691,-53766.75146914,-50971.71566223
 68,     0.34000000,  2794.69542691,-53701.29152524,-50906.59609833
 69,     0.34500000,  2794.45903187,-53634.31625967,-50839.85722780
 70,     0.35000000,  2794.32822181,-53565.75403776,-50771.42581595
 71,     0.35500000,  2794.31507601,-53495.54193117,-50701.22685516
 72,     0.36000000,  2794.42453265,-53423.77809894,-50629.35356629
 73,     0.36500000,  2794.67957990,-53350.30115071,-50555.62157081
 74,     0.37000000,  2795.09933935,-53275.21368331,-50480.11434396
 75,     0.37500000,  2795.69111877,-53198.51500784,-50402.82388907
 76,     0.38000000,  2796.46324500,-53120.12264550,-50323.65940050
 77,     0.38500000,  2797.42404473,-53040.00541577,-50242.58137104
 78,     0.39000000,  2798.57690212,-52958.14993630,-50159.57303418
 79,     0.39500000,  2799.93492695,-52874.60646187,-50074.67153492
 80,     0.40000000,  2801.53303769,-52789.24423952,-49987.71120183
 81,     0.40500000,  2803.38469482,-52702.28307290,-49898.89837808
 82,     0.41000000,  2805.50132004,-52613.60138258,-49808.10006255
 83,     0.41500000,  2807.88113682,-52523.23642494,-49715.35528813
 84,     0.42000000,  2810.52792886,-52431.27413573,-49620.74620687
 85,     0.42500000,  2813.49958937,-52337.66795141,-49524.16836204
 86,     0.43000000,  2816.81692777,-52242.38648231,-49425.56955454
 87,     0.43500000,  2820.45898422,-52145.50765012,-49325.04866590
 88,     0.44000000,  2824.43655720,-52047.15513335,-49222.71857615
 89,     0.44500000,  2828.76816839,-51947.26097575,-49118.49280736
 90,     0.45000000,  2833.45323464,-51845.88222117,-49012.42898653
 91,     0.45500000,  2838.50710736,-51743.11236461,-48904.60525725
 92,     0.46000000,  2843.94747209,-51638.96041423,-48795.01294214
 93,     0.46500000,  2849.75789793,-51533.53850065,-48683.78060273
